id,title,publisher,publication_date,access_date,url,source_type,supports,evidence,status
"C11","Keita Nakanishi profile","Yamaha Motor Ventures","","2026-09-17","https://www.yamahamotor.vc/team/keita-nakanishi","official YMV profile","CEO; Board and Investment Committee; Yamaha technical/R&D background","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"C12","Anish Patel profile","Yamaha Motor Ventures","","2026-09-17","https://www.yamahamotor.vc/anish-patel","official YMV profile","CIO & COO / Partner; investment and mobility venture background","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"C13","Daniel Barth profile","Yamaha Motor Ventures","","2026-09-17","https://www.yamahamotor.vc/team/daniel-barth-","official YMV profile","Principal; sourcing and leading investment activities","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"G01","Yamaha Motor Invests in Finnish IT Startup Skipperi","Yamaha Motor Co., Ltd.","2023-02-07","2026-09-17","https://global.yamaha-motor.com/news/2023/0207/marine.html","primary official announcement","investment; Skipperi Fleet/P2P rental; online boat-club operations; AI and operational data; sharing-economy platform thesis","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"G02","Yamaha Motor establishes new company in Finland","Yamaha Motor Europe N.V.","2025-06-11","2026-09-17","https://www.yamaha-motor.eu/is/en/news/2025/yamaha-motor-boosts-its-marine-digitalisation-and-connectivity-w/","primary official announcement","YMCI Espoo; 100% Yamaha Motor Europe capital contribution; acquisition of Skipperi fleet software and IP; subscription-rental platform; future digital-platform development","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"G03","Skipperi – a boating focused technology company","Skipperi","","2026-09-17","https://www.skipperi.com/about-us","company self-description; undated","states 100% Yamaha ownership since 2025; app reservation/learning/boating; fleet expansion statement","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"G04","Yamaha Marine Connected Boat Division Announces Expanded Business and Product Offerings with Skipperi","Yamaha Outboards / Yamaha U.S. Marine","2026-08-25","2026-09-17","https://yamahaoutboards.com/newsroom/company-news/yamaha-marine-connected-boat-division-announces-expanded-business-and-product-offerings-with-skipper","primary official announcement","Yamaha-owned dealer boat-club platform; booking/payment/training/contracts; lockbox access and fuel billing; geofencing; fleet telemetry; one manager up to 15 boats; US/Portugal/Finland/Spain operations","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"G05","Deep Blue Hybrid","Torqeedo","","2026-09-17","https://www.torqeedo.com/us/en-us/products/hybrid-drives","current primary product page; undated","25-100 kW continuous at 360 V; inboard/outboard/saildrive; 360-V battery; diesel generator direct bus feed; 45-kW Panda continuous example; third-party generator DC interface; CAN/Ethernet; serial hybrid modes; ferries/water taxis","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"G06","Deep Blue – Electric outboard with 25 to 50 kW","Torqeedo","","2026-09-17","https://www.torqeedo.com/us/en-us/products/outboards/deep-blue","current primary product page; undated","series-production high-voltage outboards; 25 kW and 50 kW models; remote-throttle R models","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"G07","Flying on water","Torqeedo","2020-12-17","2026-09-17","https://www.torqeedo.com/en/news-and-press/blog/blog-2020-12-17.html","primary company technical case","Candela Seven hydrofoil; custom Deep Blue 50i; motor/flight-control communication protocol modification; custom integration precedent","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"G08","Autonomous and Electric: Research Vessel NOVA sets course with Torqeedo Drive","Torqeedo","2025-05-27","2026-09-17","https://www.torqeedo.com/en/news-and-press/press-releases/blog-2025-5-27.html","primary official press release","autonomous inland research vessel; two 50-kW Deep Blue motors; four Deep Blue Batteries 80; power management; autonomous-navigation equipment low-voltage circuit; SMU/OEM display data access","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"G09","Marine Products Business Presentation / Fukuroi South Factory tour","Yamaha Motor Co., Ltd.","2024-03-29","2026-09-17","https://global.yamaha-motor.com/ir/library/report/pdf/2024/spv_en.pdf","primary investor presentation","autodocking roadmap; Miami reference exhibit; GPS-guided version 1 targeted for 2024; automatic shore-landing function described as in development","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"G10","HELM MASTER EX","Yamaha Motor Co., Ltd.","","2026-09-17","https://global.yamaha-motor.com/business/outboards/products/accessories/hm-ex/","current primary product page; undated","current Autopilot Course/Heading Hold; Track Point; Pattern Steer; SetPoint; joystick/bow-thruster integration; F150-F425 DEC scope; no autodocking claim on page","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"G11","Autopilot | Helm Master EX 2024","Yamaha Outboards","2024-03-12","2026-09-17","https://yamahaoutboards.com/owner-center/videos/helm-master-ex/autopilot-helm-master-ex-2024","primary product video page","released/featured Autopilot panel; Heading Hold; Course Hold; destination-triggered preselected mode; spiral/zig-zag patterns; no autodocking launch evidence","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"R01","Yamaha Motor Marine Products: Boats","Yamaha Motor Co., Ltd.","","2026-09-17","https://global.yamaha-motor.com/about/business/boats/","official_corporate","","Yamaha has 60+ years marine business; integrated hulls, engines, peripheral equipment and services; owned production listed as Yamaha Marine Hokkaido Manufacturing (fishing/utility boats) and Yamaha Amakusa Manufacturing (medium/small/utility boats).","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"R02","Overseas Sales Network—Outboards","Yamaha Motor Co., Ltd.","","2026-09-17","https://global.yamaha-motor.com/business/outboards/distributors/","official_corporate","","Lists marine/outboard channel entities: Japan YMC; China YMCN; Korea Hyundae Trade Motors and YKM; Hong Kong Man Lee Tat; Taiwan Fornor; Indonesia PT Karya Bahari Abadi; Malaysia HLY Marine and EM Technology Marine; Philippines ALS Marine Center; Singapore Yamaha Motor Distribution Singapore; Thailand Thai Yamaha Motor; Vietnam Minh Long Marine Equipment.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"R03","Asia & Oceania Group Companies","Yamaha Motor Co., Ltd.","2026-09-01","2026-09-17","https://global.yamaha-motor.com/about/group/asia_oceania/","official_corporate","","Distinguishes Yamaha subsidiaries/affiliates: Indonesia YIMM etc; Philippines YMPH; Thailand TYM; Vietnam YMVN; Singapore YMAP/YDS; Taiwan YMT; China YMCN; South Korea only Yamaha Robotics Korea in group list. Corporate presence does not prove marine business.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"R04","Sea-Style Club Guide 2026-27","Yamaha Motor Marine Japan","","2026-09-17","https://sea-style-m.yamaha-motor.co.jp/jp/common/get-private-file/handbook/CLUBGUIDE2026.pdf","official_operational","","Japan membership boat-rental club; home-marina reservations, safety lectures, check-in/out and schools; club guide includes home-marina list and charter plans. Recreational network, not passenger-route concession evidence.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"R05","Yamaha Marine Hokkaido Manufacturing","Yamaha Marine Hokkaido Manufacturing Co., Ltd.","","2026-09-17","https://www.hokkaido-marine.co.jp/","official_company_link","","Yamaha global links the entity as marine manufacturing; R01 specifies fishing/utility production in Yakumo, Hokkaido.","Official company link; manufacturing claim is grounded in Yamaha corporate Boats page (R01/T10)."
"R06","Yamaha Amakusa Manufacturing","Yamaha Amakusa Manufacturing Co., Ltd.","","2026-09-17","https://www.amakusa-marine.co.jp/","official_company_link","","Yamaha global links the entity as marine manufacturing; R01 specifies medium/small and utility boats in Kamiamakusa, Kumamoto.","Official company link; manufacturing claim is grounded in Yamaha corporate Boats page (R01/T10)."
"R07","PT Karya Bahari Abadi marine site","PT Karya Bahari Abadi","","2026-09-17","https://ptkba.com/en/","official_distributor","","Authorized Yamaha outboard and water-vehicle distributor in Indonesia; lists Helm Master EX integrated boat control, outboards, WaveRunner, warranty, service and official agents.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"R08","Thai Yamaha Motor marine portal","Thai Yamaha Motor Co., Ltd.","","2026-09-17","https://www.yamaha-motor.co.th/marine","official_subsidiary","","Thai Yamaha marine portal shows outboards, WaveRunner, genuine parts/accessories, dealer/service finder and F425 product; product/service channel, no boatbuilding evidence.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"R09","Minh Long Marine / Yamaha distributor listing","Minh Long Marine Equipment Co., Ltd.","","2026-09-17","https://yamaha.mlmarine.com/","official_global_distributor_directory","","Yamaha's official outboard directory identifies Minh Long as Vietnam distributor; local site requires follow-up for service footprint and commercial capability.","Distributor identified in Yamaha global directory (R02); local capabilities not independently established."
"R10","HLY Marine / Yamaha distributor listing","HLY Marine Sdn. Bhd.","","2026-09-17","http://www.hlymarine.com.my/","official_global_distributor_directory","","Yamaha's official directory identifies HLY Marine in Malaysia; independent distributor relationship, not Yamaha Motor subsidiary or boatyard proof.","Distributor identified in Yamaha global directory (R02); local capabilities not independently established."
"R11","ALS Marine Center / Yamaha distributor listing","ALS Marine Center Corporation","","2026-09-17","https://www.alsmarine.com.ph/","official_global_distributor_directory","","Yamaha's official directory identifies ALS Marine Center in Philippines; independent marine distributor, service/coverage and commercial fleet capability unverified.","Distributor identified in Yamaha global directory (R02); local capabilities not independently established."
"R12","Maritime Singapore Decarbonisation Blueprint","Maritime and Port Authority of Singapore","","2026-09-17","https://www.mpa.gov.sg/maritime-singapore/sustainability/maritime-singapore-decarbonisation-blueprint","official_government","","Seven focus areas include domestic harbour craft, fuels/infrastructure, R&D and green finance; blueprint is maritime-wide but not an all-vessel-electric mandate.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"R13","An environmentally sustainable maritime Singapore","Singapore Ministry of Transport/MPA","","2026-09-17","https://www.mot.gov.sg/what-we-do/green-transport/maritime-environment-responsibility/","official_government","","Singapore harbour craft target net-zero by 2050; from 2030 new harbour craft in port waters must be fully electric, B100-capable or compatible with net-zero fuels. Specific domestic harbour craft scope.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"R14","CAJS Cooperative Association of Japan Shipbuilders","Cooperative Association of Japan Shipbuilders","","2026-09-17","https://www.cajs.or.jp/en/","official_industry_association","","Represents/supports small and medium Japanese shipbuilding; cites domestic vessel supply, new fuels, DX/automation and member yards including Chugoku/Setouchi, Shikoku, Kanto/Tokyo, Kyushu and others. Membership is not capacity or willingness evidence.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"R15","JTSB annual reports / small passenger-vessel safety","Japan Transport Safety Board (MLIT)","","2026-09-17","https://jtsb.mlit.go.jp/annualreport2024e/E09chapter5.pdf","official_government","","Small passenger-vessel operators must appoint safety and operation managers; reports discuss structural/navigation safety. Candidate passenger service requires Japanese inspection, operating and safety compliance.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"R16","MLIT Maritime Bureau","Japan Ministry of Land, Infrastructure, Transport and Tourism","","2026-09-17","https://www.mlit.go.jp/en/maritime/index.html","official_government","","Primary government maritime policy/regulatory portal; use for vessel inspection, passenger-ship and navigation requirements; exact vessel category and route approval require case-specific review.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"T01","Yamaha Motor Acquires Electric Marine Propulsion Manufacturer Torqeedo","Yamaha Motor","2024-01-19","2026-09-17","https://global.yamaha-motor.com/news/2024/0119/torqeedo.html","primary","","Torqeedo offers electric outboard/inboard motors, batteries and accessories; holds many patents and R&D, mass-production equipment and development resources. Acquisition intended to strengthen Marine CASE Electric capabilities and build small electric lineup, with future mid-range electric outboards.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"T02","Successful closing: Yamaha Motor closes acquisition of Torqeedo","Torqeedo","2024-04-03","2026-09-17","https://www.torqeedo.com/en/news-and-press/press-releases/blog-2024-4-3.html","primary","","Acquisition closed; Torqeedo brings electric and hybrid drive systems, nearly two decades experience, >250 patents, series-production facilities and R&D. About Torqeedo: electric/hybrid drives 0.5–100 kW for commercial and recreational use, integrated systems.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"T03","Yamaha Motor to Begin Pre-orders of Next-Generation Boat Maneuvering System HARMO","Yamaha Motor","2021-09-15","2026-09-17","https://global.yamaha-motor.com/news/2021/0915/harmo.html","primary","","HARMO is electric propulsion unit + remote box + joystick; rim-drive, low-speed thrust, large rudder angle. 3.7 kW (9.9-hp equivalent), 102 kgf static thrust, 48 VDC, 55 kg motor unit, single/twin options; Europe preorders for spring 2022.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"T04","Next-Generation Electric Propulsion System – HARMO","Yamaha Motor","","2026-09-17","https://global.yamaha-motor.com/business/outboards/products/harmo/","primary","","HARMO pairs electric propulsion with Helm Master EX; standard-outboard installation. Current page specifies max impeller shaft output 3.1 kW, 48 V, 58–64 kg, 9.9-ps comparable petrol outboard; autopilot course/speed functions via Helm Master EX.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"T05","HELM MASTER EX","Yamaha Motor","","2026-09-17","https://global.yamaha-motor.com/business/outboards/products/accessories/hm-ex/","primary","","Integrated DEC/DES/autopilot/joystick system; course/heading hold, waypoint Track Point, SetPoint position modes and bow-thruster integration. Wireless control supports single–quint engine boats; compatibility stated across current Yamaha DEC outboards F150–F425. It is Yamaha-designed/manufactured and plug-and-play within Yamaha ecosystem.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"T06","Marine Products: Marine Engines","Yamaha Motor","","2026-09-17","https://global.yamaha-motor.com/about/business/marine-engines/","primary","","Engine categories are outboard, stern-drive and inboard; outboards 2–450 hp, cumulative production 13m in 2022, sold in ~180 territories and >90% exported. Production listed: Fukuroi South (medium/large 4-stroke and large 2-stroke), Kumamoto (small/medium 4-stroke/2-stroke).","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"T07","V8 5.6-liter 450–400ps specifications","Yamaha Motor","","2026-09-17","https://global.yamaha-motor.com/business/outboards/products/4st/v8-56/spec.html","primary","","XTO V8 4-stroke, 5,559 cm3, 400–450 ps class (product page). This is a high-output outboard; no evidence here of generator duty, continuous rating, shaft/interface compatibility or hybrid genset integration.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"T08","Marine Products Business Medium-Term Management Plan 2025–2027","Yamaha Motor","2025-03-13","2026-09-17","https://global.yamaha-motor.com/ir/library/report/pdf/2025/marine_en_01.pdf","primary","","Marine CASE direction: integrated boats; integrated control by boat brain; collaborate with external partners. Torqeedo Europe electric development/manufacture/field evaluation; Japan engine development/manufacture/testing; U.S. advanced technology/field evaluations. R&D expenses 1.7x and capital investment 1.8x prior MTP; large-outboard capacity expansion and co-creation.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"T09","Marine Products Business Presentation / Fukuroi South Factory tour","Yamaha Motor","2024-03-29","2026-09-17","https://global.yamaha-motor.com/ir/library/report/pdf/2024/spv_en.pdf","primary","","Four outboard production bases (Japan Fukuroi/Kumamoto; Thailand; Brazil), ~330,000 units in 2023; Fukuroi makes ~50%, mid/large models, with 2024 plan +20% vs 2018 and further +15% vs 2024 by 2026. Presentation reports Helm Master EX autodocking GPS-guided version targeted for 2024, and Y-FSH inboard maneuvering jointly developed with Toyota.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"T10","Marine Products: Boats","Yamaha Motor","","2026-09-17","https://global.yamaha-motor.com/about/business/boats/","primary","","Yamaha has made FRP boats since 1960 and is a comprehensive hull/engine/peripheral/service maker. Production: Yamaha Marine Hokkaido (fishing/utility), Yamaha Amakusa (small/medium utility), Skeeter (bass boats, group company, Texas), G3 (aluminum boats, U.S. subsidiary brand, Missouri).","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"T11","Yamaha Motor Acquires Telwater","Yamaha Motor","2025-04-01","2026-09-17","https://global.yamaha-motor.com/news/2025/0401/telwater.html","primary","","Yamaha Motor Australia signed purchase agreement to acquire all Telwater shares from BRP subsidiaries; Telwater makes Australian aluminum boats under Quintrex, Stacer, Savage. Strategic intent: strengthen marine foundations, Australian sales network and outboard business; status should be confirmed post-clearances.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"T12","Yamaha Motor Acquires US Smart boat tech Company Siren Marine","Yamaha Motor","2021-12-16","2026-09-17","https://global.yamaha-motor.com/news/2021/1216/corporate.html","primary","","Yamaha intended full Siren acquisition under Yamaha Marine Systems (California). Siren hardware/software remotely monitors battery, bilge, power and location/theft. Supports Marine CASE Connected/IoT and high-value services; terms/status announcement did not disclose price.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"T13","Yamaha to Purchase Siren Marine","Yamaha Motor Corporation, U.S.A.","2021-12-15","2026-09-17","https://yamahaoutboards.com/newsroom/company-news/yamaha-to-purchase-siren-marine","primary","","Siren products retained brand; development teams in Newport and Kennesaw; connected products planned. Siren supplies monitoring of battery, bilge, temperature, location and stakeholder data for OEMs/boatbuilders. Yamaha U.S. unit markets 2.5–425 hp outboards, fiberglass jet-drive sport boats and PWCs; peripheral manufacturing includes Kracor, Bennett, Yamaha Marine Precision Propellers.","Cited primary source; public source record; consult the cited URL for evidence and limitations."
